,precision,recall,f1-score,support
0,0.5098039215686274,0.7878787878787878,0.6190476190476191,33.0
1,0.8888888888888888,0.691358024691358,0.7777777777777778,81.0
accuracy,0.7192982456140351,0.7192982456140351,0.7192982456140351,0.7192982456140351
macro avg,0.6993464052287581,0.7396184062850729,0.6984126984126984,114.0
weighted avg,0.7791537667698658,0.7192982456140351,0.7318295739348372,114.0
